web-scraper-order,grade,optativas,empty
1711401207-78,,DCC058-DIG - PROJETOS E CONCEITOS DE SISTEMAS PARALELOS E DISTRIBUÍDOS,
1711401207-79,,"DCC198-DIG - REDES COMPLEXAS EM COMPUTACAO: MODELAGEM, ALGORITMOS E APLICACOES",
1711401207-80,,DCC039-DIG - ROBOTICA,
1711401207-81,,DCC042-DIG - ROBOTICA MOVEL,
1711401207-82,,DCC059-DIG - SEMANTICA FORMAL,
1711401207-83,,DCC014-DIG - SISTEMA DE TEMPO REAL,
1711401207-84,,DCC008-DIG - SOFTWARE BASICO,
1711401207-85,,DCC030-DIG - TOPICOS EM CIENCIA DA COMPUTACAO,
1711401207-86,,DCC213-DIG - TÓPICOS EM FORMAÇÃO AVANÇADA I,
1711401207-87,,DCC214-DIG - TÓPICOS EM FORMAÇÃO AVANÇADA II,
1711401207-88,,DCC043-DIG - VISAO COMPUTACIONAL,
